epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6896.52,0.69649,0.39022,0.80838,0.93758,0.82387,0.89159,0.73428,0.74636,0.37051,0.80767,4.86838e-05,4.86838e-05,4.86838e-05
60,7013.14,0.69187,0.38911,0.80724,0.92704,0.8298,0.89442,0.74094,0.73084,0.36518,0.80683,4.85749e-05,4.85749e-05,4.85749e-05
61,7129.83,0.69426,0.38861,0.80798,0.93299,0.82698,0.89372,0.73566,0.76992,0.37435,0.80873,4.8466e-05,4.8466e-05,4.8466e-05
62,7246.13,0.68496,0.38407,0.80731,0.93416,0.82782,0.89568,0.74391,0.73739,0.36478,0.80722,4.83571e-05,4.83571e-05,4.83571e-05
63,7362.8,0.69609,0.38737,0.80596,0.93454,0.83101,0.89648,0.74144,0.74218,0.36615,0.8069,4.82482e-05,4.82482e-05,4.82482e-05
64,7479.31,0.68308,0.38104,0.80569,0.93645,0.82918,0.89617,0.74099,0.73649,0.36264,0.80637,4.81393e-05,4.81393e-05,4.81393e-05
65,7595.73,0.67902,0.3804,0.80568,0.94153,0.82984,0.89895,0.73952,0.76013,0.368,0.80701,4.80304e-05,4.80304e-05,4.80304e-05
66,7712.31,0.68124,0.38057,0.80469,0.93167,0.83031,0.89436,0.73828,0.74112,0.36511,0.80664,4.79215e-05,4.79215e-05,4.79215e-05
67,7828.73,0.67778,0.37964,0.8056,0.93842,0.83315,0.89977,0.7506,0.71452,0.35729,0.80513,4.78126e-05,4.78126e-05,4.78126e-05
68,7945.24,0.67286,0.3757,0.80503,0.93834,0.83032,0.89893,0.73935,0.75716,0.36568,0.80686,4.77037e-05,4.77037e-05,4.77037e-05
69,8061.84,0.67636,0.37837,0.80436,0.93301,0.82624,0.89615,0.73745,0.76231,0.3688,0.80705,4.75948e-05,4.75948e-05,4.75948e-05
70,8178.39,0.67316,0.37649,0.80438,0.93427,0.8328,0.8965,0.73506,0.7558,0.36621,0.80687,4.74859e-05,4.74859e-05,4.74859e-05
71,8295.02,0.67324,0.37594,0.80387,0.94117,0.82868,0.89931,0.74467,0.74316,0.3618,0.80569,4.7377e-05,4.7377e-05,4.7377e-05
72,8411.49,0.67104,0.37452,0.80356,0.94064,0.83242,0.89843,0.74688,0.72302,0.35648,0.80441,4.72681e-05,4.72681e-05,4.72681e-05
73,8527.99,0.66823,0.37326,0.8045,0.93827,0.83552,0.90025,0.75106,0.71658,0.3539,0.80445,4.71592e-05,4.71592e-05,4.71592e-05
74,8644.75,0.66662,0.37096,0.80248,0.9368,0.83189,0.89773,0.74223,0.73693,0.35957,0.80496,4.70503e-05,4.70503e-05,4.70503e-05
75,8761.27,0.66301,0.37051,0.80257,0.9347,0.83786,0.90121,0.75466,0.69204,0.34637,0.80346,4.69414e-05,4.69414e-05,4.69414e-05
76,8877.76,0.65644,0.3669,0.80193,0.93526,0.83499,0.90113,0.74802,0.72298,0.35426,0.80418,4.68325e-05,4.68325e-05,4.68325e-05
77,8994.14,0.65962,0.36902,0.80428,0.93921,0.83669,0.90188,0.74723,0.73848,0.35803,0.80526,4.67236e-05,4.67236e-05,4.67236e-05
78,9110.57,0.66273,0.37007,0.80355,0.93748,0.83005,0.89675,0.74998,0.69662,0.34701,0.8033,4.66147e-05,4.66147e-05,4.66147e-05
79,9226.9,0.65822,0.36872,0.80307,0.94463,0.83033,0.90028,0.74595,0.73838,0.35688,0.80404,4.65058e-05,4.65058e-05,4.65058e-05
80,9343.24,0.65664,0.36824,0.80356,0.94272,0.83315,0.90197,0.74697,0.73446,0.35655,0.80497,4.63969e-05,4.63969e-05,4.63969e-05
81,9459.77,0.6577,0.36574,0.80205,0.94133,0.83941,0.90271,0.74453,0.73968,0.35538,0.80426,4.6288e-05,4.6288e-05,4.6288e-05
82,9576.36,0.64599,0.36063,0.8014,0.94205,0.83799,0.90311,0.75331,0.70777,0.34777,0.80228,4.61791e-05,4.61791e-05,4.61791e-05
83,9692.88,0.64868,0.36157,0.80203,0.93959,0.83461,0.89996,0.73644,0.7734,0.36321,0.80536,4.60702e-05,4.60702e-05,4.60702e-05
84,9809.55,0.65278,0.36288,0.80104,0.94594,0.83748,0.90322,0.76105,0.68117,0.33957,0.80158,4.59613e-05,4.59613e-05,4.59613e-05
