epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5299.31,0.4653,0.29064,0.78757,0.86661,0.74874,0.82476,0.65721,0.80431,0.40752,0.81837,4.90105e-05,4.90105e-05,4.90105e-05
57,5392.3,0.46201,0.28997,0.78839,0.8746,0.75254,0.83017,0.65744,0.81376,0.40853,0.81813,4.89016e-05,4.89016e-05,4.89016e-05
58,5485.44,0.46506,0.2903,0.78704,0.87455,0.75092,0.82881,0.65309,0.82662,0.41056,0.819,4.87927e-05,4.87927e-05,4.87927e-05
59,5578.42,0.45743,0.28658,0.78728,0.87599,0.73794,0.82813,0.65812,0.8009,0.40791,0.81761,4.86838e-05,4.86838e-05,4.86838e-05
60,5671.56,0.46042,0.28896,0.78621,0.88061,0.74461,0.83051,0.65797,0.82655,0.4134,0.81897,4.85749e-05,4.85749e-05,4.85749e-05
61,5764.75,0.46415,0.28994,0.78725,0.87712,0.7521,0.83304,0.66413,0.79086,0.40285,0.81645,4.8466e-05,4.8466e-05,4.8466e-05
62,5859.95,0.45574,0.28587,0.78653,0.88796,0.75007,0.8333,0.66776,0.78731,0.39882,0.8171,4.83571e-05,4.83571e-05,4.83571e-05
63,5955.47,0.45008,0.28219,0.78684,0.8763,0.75139,0.82991,0.65531,0.81518,0.40408,0.81742,4.82482e-05,4.82482e-05,4.82482e-05
64,6048.52,0.45395,0.28424,0.78682,0.88209,0.75726,0.83702,0.66528,0.80318,0.40206,0.81689,4.81393e-05,4.81393e-05,4.81393e-05
65,6141.51,0.46039,0.28578,0.78638,0.8579,0.7632,0.83434,0.65911,0.8159,0.40434,0.8172,4.80304e-05,4.80304e-05,4.80304e-05
66,6234.7,0.45663,0.28642,0.78621,0.86159,0.76109,0.83664,0.65769,0.82843,0.40978,0.81851,4.79215e-05,4.79215e-05,4.79215e-05
67,6327.97,0.45505,0.2858,0.78562,0.87838,0.74453,0.83029,0.65184,0.84339,0.41534,0.81976,4.78126e-05,4.78126e-05,4.78126e-05
68,6421.26,0.45415,0.28321,0.78578,0.8776,0.76174,0.83952,0.66892,0.79566,0.39717,0.81619,4.77037e-05,4.77037e-05,4.77037e-05
69,6516.64,0.44515,0.2791,0.7858,0.884,0.75434,0.83862,0.67267,0.77295,0.39328,0.81593,4.75948e-05,4.75948e-05,4.75948e-05
70,6612.1,0.45187,0.28103,0.78501,0.8748,0.76797,0.8424,0.67403,0.77746,0.39498,0.81544,4.74859e-05,4.74859e-05,4.74859e-05
71,6707.56,0.44386,0.27871,0.78565,0.88858,0.75274,0.84178,0.67397,0.7942,0.39802,0.8155,4.7377e-05,4.7377e-05,4.7377e-05
72,6800.67,0.43791,0.27569,0.7853,0.87481,0.77229,0.84527,0.6792,0.76771,0.38749,0.81398,4.72681e-05,4.72681e-05,4.72681e-05
73,6895.97,0.44169,0.27558,0.78492,0.88614,0.75692,0.84117,0.66812,0.81702,0.40046,0.81635,4.71592e-05,4.71592e-05,4.71592e-05
74,6989.26,0.44588,0.27738,0.78543,0.86893,0.76631,0.84096,0.67123,0.78962,0.39536,0.81496,4.70503e-05,4.70503e-05,4.70503e-05
75,7082.3,0.44384,0.2782,0.78519,0.87236,0.76832,0.84309,0.67543,0.77652,0.39347,0.81384,4.69414e-05,4.69414e-05,4.69414e-05
76,7175.35,0.4363,0.27549,0.78462,0.86865,0.76611,0.84001,0.65944,0.84564,0.40808,0.81749,4.68325e-05,4.68325e-05,4.68325e-05
77,7268.53,0.44178,0.27506,0.78408,0.87729,0.77048,0.84563,0.67623,0.77969,0.38862,0.8142,4.67236e-05,4.67236e-05,4.67236e-05
78,7361.89,0.43742,0.27233,0.78441,0.8877,0.77032,0.84757,0.67677,0.77698,0.38713,0.81376,4.66147e-05,4.66147e-05,4.66147e-05
79,7454.89,0.43147,0.27012,0.78405,0.87373,0.76808,0.84357,0.66993,0.80785,0.39393,0.81598,4.65058e-05,4.65058e-05,4.65058e-05
80,7548.1,0.42659,0.26806,0.78333,0.88113,0.77401,0.84883,0.68084,0.77137,0.38677,0.81316,4.63969e-05,4.63969e-05,4.63969e-05
81,7643.8,0.43153,0.26976,0.78348,0.88227,0.77516,0.84921,0.678,0.78178,0.38661,0.81371,4.6288e-05,4.6288e-05,4.6288e-05
82,7736.9,0.42283,0.26684,0.78337,0.88625,0.77222,0.8476,0.67376,0.79584,0.38983,0.81413,4.61791e-05,4.61791e-05,4.61791e-05
83,7829.93,0.42983,0.27049,0.78355,0.87587,0.77176,0.84376,0.6731,0.78391,0.3893,0.81405,4.60702e-05,4.60702e-05,4.60702e-05
84,7923.21,0.43744,0.27224,0.78391,0.89139,0.77477,0.8535,0.68212,0.78215,0.38787,0.81297,4.59613e-05,4.59613e-05,4.59613e-05
85,8018.4,0.42717,0.26856,0.78326,0.89803,0.77315,0.85316,0.68112,0.78579,0.38768,0.813,4.58524e-05,4.58524e-05,4.58524e-05
86,8111.2,0.41689,0.26476,0.78353,0.88893,0.77658,0.85285,0.67462,0.81086,0.39225,0.81485,4.57435e-05,4.57435e-05,4.57435e-05
87,8204.15,0.42306,0.26559,0.78396,0.89553,0.77322,0.85332,0.68422,0.77984,0.3845,0.813,4.56346e-05,4.56346e-05,4.56346e-05
88,8299.61,0.42494,0.26689,0.78352,0.89691,0.77629,0.85311,0.68182,0.79177,0.38708,0.81309,4.55257e-05,4.55257e-05,4.55257e-05
89,8392.72,0.41704,0.26344,0.78199,0.89291,0.77003,0.84955,0.6815,0.76895,0.38148,0.81194,4.54168e-05,4.54168e-05,4.54168e-05
90,8485.92,0.41672,0.26308,0.7826,0.89516,0.77974,0.85588,0.68471,0.77433,0.38191,0.81342,4.53079e-05,4.53079e-05,4.53079e-05
91,8581.21,0.42197,0.26522,0.78249,0.89605,0.77263,0.85305,0.6812,0.80032,0.3897,0.81418,4.5199e-05,4.5199e-05,4.5199e-05
92,8674.09,0.41925,0.26319,0.78309,0.89403,0.77679,0.85466,0.68607,0.78467,0.38305,0.81274,4.50901e-05,4.50901e-05,4.50901e-05
93,8769.63,0.41786,0.26351,0.78248,0.89837,0.77948,0.85482,0.68395,0.78895,0.3855,0.81355,4.49812e-05,4.49812e-05,4.49812e-05
94,8862.7,0.42405,0.26559,0.7828,0.89928,0.77561,0.85461,0.68807,0.75332,0.37569,0.81072,4.48723e-05,4.48723e-05,4.48723e-05
95,8958.01,0.41422,0.26132,0.78259,0.90174,0.7707,0.85267,0.68385,0.7787,0.38075,0.81203,4.47634e-05,4.47634e-05,4.47634e-05
96,9051.16,0.41364,0.26042,0.78234,0.90249,0.76807,0.85264,0.68341,0.76967,0.37965,0.81159,4.46545e-05,4.46545e-05,4.46545e-05
97,9144.1,0.41061,0.25977,0.78218,0.89685,0.77755,0.85363,0.68698,0.76459,0.37626,0.81139,4.45456e-05,4.45456e-05,4.45456e-05
98,9237.12,0.41602,0.26151,0.78236,0.90675,0.77032,0.85551,0.68438,0.7748,0.37901,0.81252,4.44367e-05,4.44367e-05,4.44367e-05
99,9330.13,0.41385,0.26054,0.78232,0.8999,0.77409,0.85532,0.6849,0.78121,0.38001,0.81246,4.43278e-05,4.43278e-05,4.43278e-05
100,9423.17,0.41645,0.26193,0.78173,0.88352,0.7802,0.85392,0.68707,0.76167,0.37452,0.81082,4.42189e-05,4.42189e-05,4.42189e-05
101,9516.25,0.40862,0.25828,0.78185,0.89283,0.77806,0.85703,0.68643,0.78384,0.38067,0.81172,4.411e-05,4.411e-05,4.411e-05
102,9609.54,0.40916,0.25758,0.78131,0.89355,0.77631,0.85432,0.6846,0.77713,0.37985,0.8116,4.40011e-05,4.40011e-05,4.40011e-05
103,9702.44,0.40642,0.2578,0.78115,0.89351,0.78049,0.85789,0.68883,0.75822,0.37638,0.81039,4.38922e-05,4.38922e-05,4.38922e-05
104,9797.81,0.40276,0.25456,0.78085,0.89622,0.77807,0.8565,0.68185,0.8031,0.38383,0.81211,4.37833e-05,4.37833e-05,4.37833e-05
105,9890.98,0.40869,0.25746,0.7813,0.90796,0.77721,0.85936,0.69466,0.76118,0.37478,0.81074,4.36744e-05,4.36744e-05,4.36744e-05
